league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LPL,Suning,huanfeng,Bot,11,10,4.81,1.38,4.48,6.72,333.24,10.2,14900.0,456,0.252,0.696,0.361
LPL,Top Esports,JackeyLove,Bot,13,6,6.21,2.32,5.47,5.05,280.11,9.58,14200.0,487,0.252,0.7,0.37200000000000005
LPL,Oh My God,Aki,Jungle,5,19,2.04,2.67,4.08,2.3,188.79,6.26,10000.0,333,0.198,0.665,0.222
LPL,Rogue Warriors,Haro,Jungle,3,21,3.21,3.42,3.33,1.91,190.08,6.28,10600.0,352,0.21600000000000003,0.741,0.363
LPL,JD Gaming,Kanavi,Jungle,14,9,3.48,2.57,6.35,3.83,207.26,6.61,11600.0,371,0.20199999999999999,0.698,0.247
LPL,Top Esports,369,Top,13,6,2.53,2.37,5.68,3.47,239.89,8.21,11600.0,398,0.20600000000000002,0.49200000000000005,0.151
LPL,Victory Five,LANGX,Top,9,9,1.17,2.17,5.33,3,239,8.11,10900.0,369,0.209,0.565,0.10099999999999999
LPL,LGD Gaming,Cult,Top,5,13,1.28,2.67,3.78,1.9,242.72,7.88,10900.0,353,0.20800000000000002,0.58,0.146
LPL,Invictus Gaming,Wink,Bot,10,8,3.83,1.83,6.17,5.45,278.17,9.45,13000.0,443,0.239,0.6409999999999999,0.24600000000000002
LPL,Victory Five,y4,Bot,6,9,3.87,2,4.87,4.37,271.67,8.91,12800.0,419,0.237,0.679,0.301
LPL,LGD Gaming,Kramer,Bot,4,9,3.15,2.23,3.08,2.79,306.23,9.85,13500.0,434,0.256,0.7040000000000001,0.35700000000000004
LPL,EDward Gaming,Jiejie,Jungle,18,4,2.23,1.86,7.55,5.24,200.32,6.05,11400.0,345,0.183,0.644,0.147
LPL,LNG Esports,Tarzan,Jungle,10,12,2.55,1.95,5.27,4,202.32,6.36,11000.0,347,0.196,0.664,0.21600000000000003
LPL,Suning,SofM,Jungle,11,10,2.1,2.38,6,3.4,195.1,5.97,10800.0,329,0.182,0.607,0.157
LPL,Oh My God,New,Top,5,11,1.69,2.88,3.94,1.96,241.31,7.87,11300.0,367,0.214,0.536,0.161
LPL,LNG Esports,M1kuya,Top,8,7,1.27,2.4,5,2.61,248.73,7.82,11400.0,359,0.2,0.511,0.10300000000000001
LPL,LNG Esports,Ale,Top,2,5,1.57,3,5.14,2.24,254.14,7.97,11700.0,366,0.213,0.627,0.147
LPL,Victory Five,Trigger,Bot,6,4,3.9,2,3.6,3.75,253.5,9.29,11600.0,426,0.23600000000000002,0.6579999999999999,0.342
LPL,Rogue Warriors,Michi,Bot,0,10,2,2.9,3.3,1.83,238.6,8.46,10400.0,368,0.23,0.639,0.24100000000000002
LPL,Rogue Warriors,Betty,Bot,1,6,2.29,2.29,3.57,2.56,292.29,9.04,12700.0,393,0.237,0.7190000000000001,0.281
LPL,Top Esports,Karsa,Jungle,13,6,3.11,2,7.05,5.08,185.79,6.36,10900.0,372,0.192,0.609,0.18600000000000003
LPL,Rare Atom,Leyan,Jungle,12,6,3.67,3.11,5.17,2.84,240.28,7.15,12800.0,380,0.203,0.626,0.26
LPL,ThunderTalk Gaming,Xiaopeng,Jungle,6,11,3.24,3.06,5.59,2.88,192.65,5.86,11500.0,349,0.19399999999999998,0.698,0.256
LPL,Victory Five,Aodi,Top,3,3,2.33,3,7.17,3.17,190.83,6.91,9800.0,354,0.19399999999999998,0.6709999999999999,0.165
LPL,Oh My God,Alielie,Top,0,6,1.33,5.17,2,0.65,207.17,7.78,9300.0,348,0.22399999999999998,0.741,0.29600000000000004
LPL,Oh My God,Bright,Top,0,2,2.5,2.5,5.5,3.2,235,6.43,11800.0,323,0.19,0.615,0.192
LPL,Invictus Gaming,Puff,Bot,4,2,5.17,1.67,4.67,5.9,312.33,10.1,14100.0,455,0.251,0.738,0.38799999999999996
LPL,Rogue Warriors,kelin,Bot,2,3,3.4,3.8,6,2.47,284.4,8.54,13900.0,418,0.244,0.7340000000000001,0.266
LPL,LGD Gaming,Kui,Jungle,4,12,1.63,3.06,3.38,1.63,184.13,6.02,9800.0,321,0.18899999999999997,0.58,0.188
LPL,FunPlus Phoenix,Bo,Jungle,10,0,6.8,2.4,6.2,5.42,218.5,7.58,13000.0,451,0.21899999999999997,0.688,0.36
LPL,Victory Five,Invincible,Top,0,1,3,6,6,1.5,248,7.33,12600.0,372,0.20600000000000002,0.6,0.2
LPL,LGD Gaming,Garvey,Bot,1,4,3.8,3.8,2.2,1.58,267.8,8.9,12500.0,416,0.242,0.7140000000000001,0.452
LPL,Rogue Warriors,QiuQiu,Bot,0,2,1,3,1,0.67,187.5,7.34,8000.0,312,0.214,0.5,0.25
LPL,FunPlus Phoenix,Tian,Jungle,5,4,3.22,2.44,5.44,3.55,176.56,5.74,10500.0,343,0.185,0.629,0.23399999999999999
LPL,ThunderTalk Gaming,bless,Jungle,1,6,1,3,2.29,1.1,189.86,6.12,9400.0,303,0.188,0.605,0.184
LPL,Rare Atom,Aix,Jungle,2,2,1.25,2.5,5,2.5,216.75,6.63,11300.0,346,0.19699999999999998,0.6409999999999999,0.128
LPL,FunPlus Phoenix,Beichuan,Jungle,2,2,2.5,2.5,7,3.8,223.75,7.44,11200.0,371,0.198,0.679,0.179
LPL,LGD Gaming,Flora,Jungle,1,1,1,2.5,6,2.8,193.5,5.96,10500.0,322,0.185,0.737,0.105
